Date,Open,High,Low,Close,Volume,Market Cap
"May 03, 2017",0.314746,0.348589,0.309078,0.343782,758237,15737300
"May 02, 2017",0.319147,0.326074,0.280153,0.314833,588824,15957400
"May 01, 2017",0.361689,0.361689,0.269563,0.318838,1142050,18084400
"Apr 30, 2017",0.271731,0.362409,0.268994,0.360099,1631520,13586500
"Apr 29, 2017",0.229612,0.29057,0.221128,0.271729,960013,11480600
"Apr 28, 2017",0.202194,0.229271,0.20142,0.229255,473689,10109700
"Apr 27, 2017",0.184394,0.20851,0.181833,0.202092,327972,9219700
"Apr 26, 2017",0.183475,0.188085,0.179909,0.184577,185400,9173750
"Apr 25, 2017",0.173606,0.184094,0.166802,0.183504,241805,8680300
"Apr 24, 2017",0.177077,0.177153,0.163354,0.173758,262706,8853850
"Apr 23, 2017",0.180684,0.185985,0.169937,0.17496,175678,9034200
"Apr 22, 2017",0.178943,0.188524,0.173304,0.183058,288119,8947150
"Apr 21, 2017",0.184685,0.185694,0.174442,0.178122,263127,9234250
"Apr 20, 2017",0.189534,0.191015,0.178645,0.184725,222525,9476700
"Apr 19, 2017",0.180622,0.190709,0.178089,0.189408,297302,9031100
"Apr 18, 2017",0.19191,0.192224,0.176355,0.180479,348694,9595500
"Apr 17, 2017",0.191583,0.192535,0.179468,0.191489,331308,9579150
"Apr 16, 2017",0.193672,0.19565,0.188923,0.192076,167886,9683600
"Apr 15, 2017",0.192991,0.194574,0.190452,0.192164,76566,9649550
"Apr 14, 2017",0.19154,0.19396,0.190495,0.192958,103138,9577000
"Apr 13, 2017",0.193966,0.196013,0.190089,0.191686,147722,9698300
"Apr 12, 2017",0.198357,0.200199,0.191723,0.195553,192252,9917850
"Apr 11, 2017",0.209023,0.211772,0.189697,0.197826,257457,10451200
"Apr 10, 2017",0.188842,0.220733,0.186149,0.207874,208420,9442100
"Apr 09, 2017",0.189679,0.191026,0.186312,0.188861,97362,9483950
"Apr 08, 2017",0.189456,0.193674,0.188398,0.190221,54654,9472800
"Apr 07, 2017",0.187871,0.192661,0.184796,0.188531,81618,9393550
"Apr 06, 2017",0.184767,0.190455,0.184234,0.18643,82505,9238350
"Apr 05, 2017",0.185082,0.192548,0.182758,0.184719,102043,9254100
"Apr 04, 2017",0.199874,0.202591,0.181038,0.185002,148096,9993700
"Apr 03, 2017",0.205808,0.205959,0.196132,0.199703,104805,10290400
"Apr 02, 2017",0.203584,0.206776,0.200261,0.20548,102369,10179200
"Apr 01, 2017",0.203606,0.206153,0.19444,0.205017,109993,10180300
"Mar 31, 2017",0.210236,0.213953,0.196505,0.203541,291529,10511800
"Mar 30, 2017",0.212468,0.22193,0.206085,0.210556,504940,10623400
"Mar 29, 2017",0.22065,0.225506,0.205719,0.212428,335567,11032500
"Mar 28, 2017",0.186277,0.235749,0.180596,0.220632,821674,9313850
"Mar 27, 2017",0.161165,0.191642,0.160717,0.186426,201563,8058250
"Mar 26, 2017",0.167267,0.175043,0.158772,0.160384,37656,8363350
"Mar 25, 2017",0.166941,0.167388,0.157475,0.167305,47641,8347050
"Mar 24, 2017",0.166412,0.178022,0.159289,0.166465,52184,8320600
"Mar 23, 2017",0.173183,0.176421,0.156976,0.166412,38169,8659150
"Mar 22, 2017",0.164951,0.179551,0.159475,0.173143,157814,8247550
"Mar 21, 2017",0.153972,0.167727,0.150715,0.164934,234287,7698600
"Mar 20, 2017",0.157444,0.162542,0.149597,0.153898,68539,7872200
"Mar 19, 2017",0.159019,0.163016,0.149322,0.15756,68673,7950950
"Mar 18, 2017",0.140006,0.172281,0.140006,0.158987,188985,7000300
"Mar 17, 2017",0.131324,0.166127,0.122856,0.139902,63413,6566200
"Mar 16, 2017",0.128773,0.136685,0.125514,0.131867,20678,6438650
"Mar 15, 2017",0.133699,0.140774,0.128158,0.128653,16169,6684950
"Mar 14, 2017",0.136986,0.137204,0.127028,0.133681,23746,6849300
"Mar 13, 2017",0.140799,0.140823,0.127288,0.136979,23196,7039950
"Mar 12, 2017",0.142217,0.14357,0.131473,0.140575,36588,7110850
"Mar 11, 2017",0.131403,0.142793,0.129965,0.142142,32281,6570150
"Mar 10, 2017",0.132107,0.141972,0.120088,0.131476,34319,6605350
"Mar 09, 2017",0.116266,0.140766,0.114151,0.132026,21035,5813300
"Mar 08, 2017",0.122602,0.128715,0.116242,0.116242,5536,6130100
"Mar 07, 2017",0.123459,0.123531,0.116952,0.122573,8291,6172950
"Mar 06, 2017",0.121782,0.124417,0.118414,0.12345,10659,6089100
"Mar 05, 2017",0.119821,0.12368,0.116513,0.121757,4192,5991050
"Mar 04, 2017",0.122602,0.125583,0.117666,0.119901,6235,6130100
"Mar 03, 2017",0.119272,0.124929,0.118119,0.122444,9499,5963600
"Mar 02, 2017",0.135408,0.135475,0.115596,0.119301,8963,6770400
"Mar 01, 2017",0.117455,0.135197,0.113717,0.135197,12914,5872750
"Feb 28, 2017",0.115442,0.118271,0.113307,0.117443,19659,5772100
"Feb 27, 2017",0.115234,0.118632,0.10963,0.115376,8960,5761700
"Feb 26, 2017",0.114553,0.115582,0.104331,0.114986,8433,5727650
"Feb 25, 2017",0.120864,0.12166,0.110955,0.114526,9339,6043200
"Feb 24, 2017",0.119243,0.136124,0.086475,0.121185,17386,5962150
"Feb 23, 2017",0.121958,0.122226,0.114699,0.118724,6304,6097900
"Feb 22, 2017",0.124515,0.124515,0.115683,0.121959,6903,6225750
"Feb 21, 2017",0.1214,0.127322,0.114101,0.121561,14370,6070000
"Feb 20, 2017",0.123001,0.127204,0.116679,0.121475,10971,6150050
"Feb 19, 2017",0.124522,0.124827,0.117671,0.122905,4321,6226100
"Feb 18, 2017",0.122901,0.130873,0.119005,0.124431,13458,6145050
"Feb 17, 2017",0.125972,0.130485,0.115022,0.122661,28259,6298600
"Feb 16, 2017",0.112739,0.126088,0.112574,0.126088,10795,5636950
"Feb 15, 2017",0.116744,0.120698,0.111437,0.112729,5690,5837200
"Feb 14, 2017",0.118339,0.121985,0.114384,0.116603,6788,5916950
"Feb 13, 2017",0.12153,0.13772,0.118105,0.118286,6977,6076500
"Feb 12, 2017",0.125493,0.137479,0.117401,0.121566,3330,6274650
"Feb 11, 2017",0.125788,0.127159,0.122483,0.125607,743,6289400
"Feb 10, 2017",0.12754,0.13171,0.117976,0.125761,2605,6377000
"Feb 09, 2017",0.129684,0.132791,0.118249,0.127476,10870,6484200
"Feb 08, 2017",0.133244,0.134031,0.121542,0.129568,8268,6662200
"Feb 07, 2017",0.126972,0.136817,0.126972,0.133135,5302,6348600
"Feb 06, 2017",0.131717,0.138723,0.125146,0.126788,10498,6585850
"Feb 05, 2017",0.135944,0.143104,0.128306,0.131582,2685,6797200
"Feb 04, 2017",0.134385,0.147454,0.13296,0.135867,10217,6719250
"Feb 03, 2017",0.14565,0.14565,0.132985,0.134264,9702,7282500
"Feb 02, 2017",0.147206,0.147974,0.134287,0.145699,2973,7360300
"Feb 01, 2017",0.147034,0.150287,0.140878,0.147218,4496,7351700
"Jan 31, 2017",0.153713,0.153791,0.144326,0.147016,17416,7685650
"Jan 30, 2017",0.141147,0.15376,0.140489,0.15376,9285,7057350
"Jan 29, 2017",0.138097,0.14186,0.132053,0.141204,11695,6904850
"Jan 28, 2017",0.130334,0.137387,0.125774,0.134674,7066,6516700
"Jan 27, 2017",0.129894,0.135296,0.128775,0.130343,9238,6494700
"Jan 26, 2017",0.124319,0.135711,0.120759,0.133612,7694,6215950
"Jan 25, 2017",0.120212,0.129256,0.115434,0.124216,6427,6010600
"Jan 24, 2017",0.128569,0.128569,0.113295,0.120213,7139,6428450
"Jan 23, 2017",0.114416,0.130461,0.111428,0.129948,7175,5720800
"Jan 22, 2017",0.116306,0.119379,0.109804,0.114313,6468,5815300
"Jan 21, 2017",0.117955,0.127853,0.114241,0.116309,15335,5897750
"Jan 20, 2017",0.116596,0.124276,0.111754,0.117809,16255,5829800
"Jan 19, 2017",0.123035,0.123948,0.116102,0.116619,14984,6151750
"Jan 18, 2017",0.116816,0.123035,0.115687,0.123035,7457,5840800
"Jan 17, 2017",0.119675,0.122525,0.114662,0.116638,7960,5983750
"Jan 16, 2017",0.12373,0.123958,0.118628,0.119649,5112,6186500
"Jan 15, 2017",0.122904,0.132022,0.117124,0.123732,6954,6145200
"Jan 14, 2017",0.121337,0.12394,0.116299,0.122939,9262,6066850
"Jan 13, 2017",0.124106,0.124342,0.113803,0.121321,50365,6205300
"Jan 12, 2017",0.115137,0.124128,0.109263,0.124122,59945,5756850
"Jan 11, 2017",0.13397,0.13495,0.112802,0.115138,120522,6698500
"Jan 10, 2017",0.123761,0.13955,0.123113,0.133864,126915,6188050
